,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
4139,30.30338848,-97.88887425,Conductivity (uS/cm),1171,4/11/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4140,30.30338848,-97.88887425,Water temperature (Deg. Celsius),19.7,4/11/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4141,30.30338848,-97.88887425,pH (Standard units),6.89,4/11/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4142,30.30338848,-97.88887425,Turbidity (NTU),0.54,4/11/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4186,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,5/18/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4189,30.30338848,-97.88887425,Flow (Cubic feet per second),0.054,5/18/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4190,30.30338848,-97.88887425,Conductivity (uS/cm),1103,5/18/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4191,30.30338848,-97.88887425,Water temperature (Deg. Celsius),22.7,5/18/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4192,30.30338848,-97.88887425,pH (Standard units),6.9,5/18/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4193,30.30338848,-97.88887425,Turbidity (NTU),0.22,5/18/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4256,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4257,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4262,30.30338848,-97.88887425,Conductivity (uS/cm),1177,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4263,30.30338848,-97.88887425,Water temperature (Deg. Celsius),24.2,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4264,30.30338848,-97.88887425,pH (Standard units),7.11,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4265,30.30338848,-97.88887425,Turbidity (NTU),0.4,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4266,30.30338848,-97.88887425,Turbidity (NTU),0.41,6/14/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4274,30.24316997,-97.80545495,Flow (Cubic feet per second),0.95,6/23/2000,Barton Creek Upstream of Hwy 360,Stream,Barton Creek,Cubic Feet Per Second,TRUE
4313,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4314,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4319,30.30338848,-97.88887425,Conductivity (uS/cm),1162,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4320,30.30338848,-97.88887425,Water temperature (Deg. Celsius),24.4,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4321,30.30338848,-97.88887425,pH (Standard units),7.24,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4322,30.30338848,-97.88887425,Turbidity (NTU),0.27,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4323,30.30338848,-97.88887425,Turbidity (NTU),0.28,7/17/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4370,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,8/22/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4373,30.30338848,-97.88887425,Flow (Cubic feet per second),0.002,8/22/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4374,30.30338848,-97.88887425,Conductivity (uS/cm),1060,8/22/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4375,30.30338848,-97.88887425,Water temperature (Deg. Celsius),26.4,8/22/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4376,30.30338848,-97.88887425,pH (Standard units),6.82,8/22/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4377,30.30338848,-97.88887425,Turbidity (NTU),0.48,8/22/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4395,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,9/12/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4398,30.30338848,-97.88887425,Conductivity (uS/cm),1322,9/12/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4399,30.30338848,-97.88887425,Water temperature (Deg. Celsius),25.5,9/12/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4400,30.30338848,-97.88887425,pH (Standard units),6.63,9/12/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4401,30.30338848,-97.88887425,Turbidity (NTU),0.28,9/12/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4402,30.26353512,-97.77097968,Conductivity (uS/cm),688,10/9/2000,Barton Spring,Spring,Barton Creek,uS/cm,TRUE
4403,30.26353512,-97.77097968,Conductivity (uS/cm),692,10/9/2000,Barton Spring,Spring,Barton Creek,uS/cm,TRUE
4404,30.26353512,-97.77097968,Conductivity (uS/cm),706,10/9/2000,Barton Spring,Spring,Barton Creek,uS/cm,TRUE
4405,30.26353512,-97.77097968,Conductivity (uS/cm),712,10/9/2000,Barton Spring,Spring,Barton Creek,uS/cm,TRUE
4406,30.26353512,-97.77097968,Water temperature (Deg. Celsius),21.4,10/9/2000,Barton Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4407,30.26353512,-97.77097968,Water temperature (Deg. Celsius),21.66,10/9/2000,Barton Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4408,30.26353512,-97.77097968,Water temperature (Deg. Celsius),21.7,10/9/2000,Barton Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4409,30.26353512,-97.77097968,Water temperature (Deg. Celsius),21.9,10/9/2000,Barton Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4410,30.26353512,-97.77097968,pH (Standard units),6.84,10/9/2000,Barton Spring,Spring,Barton Creek,Standard units,TRUE
4411,30.26353512,-97.77097968,pH (Standard units),6.94,10/9/2000,Barton Spring,Spring,Barton Creek,Standard units,TRUE
4412,30.26353512,-97.77097968,pH (Standard units),7.12,10/9/2000,Barton Spring,Spring,Barton Creek,Standard units,TRUE
4413,30.26353512,-97.77097968,pH (Standard units),7.12,10/9/2000,Barton Spring,Spring,Barton Creek,Standard units,TRUE
4414,30.26353512,-97.77097968,Turbidity (NTU),0.9,10/9/2000,Barton Spring,Spring,Barton Creek,NTU,TRUE
4415,30.26353512,-97.77097968,Turbidity (NTU),1,10/9/2000,Barton Spring,Spring,Barton Creek,NTU,TRUE
4439,30.30338848,-97.88887425,Ammonia as N (mg/L),0.03,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4440,30.30338848,-97.88887425,Ammonia as N (mg/L),0.06,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4445,30.30338848,-97.88887425,Flow (Cubic feet per second),0.022,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4446,30.30338848,-97.88887425,Conductivity (uS/cm),1283,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4447,30.30338848,-97.88887425,Water temperature (Deg. Celsius),23.9,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4448,30.30338848,-97.88887425,pH (Standard units),6.86,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4449,30.30338848,-97.88887425,Turbidity (NTU),0.15,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4450,30.30338848,-97.88887425,Turbidity (NTU),0.28,10/31/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4474,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,11/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4477,30.30338848,-97.88887425,Conductivity (uS/cm),1152,11/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4478,30.30338848,-97.88887425,Water temperature (Deg. Celsius),20.6,11/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4479,30.30338848,-97.88887425,pH (Standard units),6.62,11/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4480,30.30338848,-97.88887425,Turbidity (NTU),0.17,11/28/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4511,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4512,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4517,30.30338848,-97.88887425,Conductivity (uS/cm),1169,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4518,30.30338848,-97.88887425,Water temperature (Deg. Celsius),19,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4519,30.30338848,-97.88887425,pH (Standard units),7.1,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4520,30.30338848,-97.88887425,Turbidity (NTU),0.24,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4521,30.30338848,-97.88887425,Turbidity (NTU),0.67,12/19/2000,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4597,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,1/25/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4600,30.30338848,-97.88887425,Flow (Cubic feet per second),0.00044,1/25/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4601,30.30338848,-97.88887425,Conductivity (uS/cm),1059,1/25/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4602,30.30338848,-97.88887425,pH (Standard units),7.11,1/25/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4603,30.30338848,-97.88887425,Turbidity (NTU),0.21,1/25/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4611,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,2/28/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4614,30.30338848,-97.88887425,Conductivity (uS/cm),931,2/28/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4615,30.30338848,-97.88887425,Water temperature (Deg. Celsius),15.4,2/28/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4616,30.30338848,-97.88887425,pH (Standard units),7.22,2/28/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4617,30.30338848,-97.88887425,Turbidity (NTU),0.54,2/28/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4687,30.30338848,-97.88887425,Ammonia as N (mg/L),0.03,4/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4690,30.30338848,-97.88887425,Conductivity (uS/cm),1005,4/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4691,30.30338848,-97.88887425,Water temperature (Deg. Celsius),19.6,4/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4692,30.30338848,-97.88887425,pH (Standard units),6.96,4/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4693,30.30338848,-97.88887425,Turbidity (NTU),0.06,4/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4720,30.30338848,-97.88887425,Ammonia as N (mg/L),0.03,5/22/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4723,30.30338848,-97.88887425,Conductivity (uS/cm),1022,5/22/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4724,30.30338848,-97.88887425,Water temperature (Deg. Celsius),21,5/22/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4725,30.30338848,-97.88887425,pH (Standard units),7.12,5/22/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4726,30.30338848,-97.88887425,Turbidity (NTU),0.65,5/22/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4734,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,6/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4737,30.30338848,-97.88887425,Flow (Cubic feet per second),0.01,6/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4738,30.30338848,-97.88887425,Conductivity (uS/cm),1041,6/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4739,30.30338848,-97.88887425,Water temperature (Deg. Celsius),24.3,6/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4740,30.30338848,-97.88887425,pH (Standard units),7.05,6/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4741,30.30338848,-97.88887425,Turbidity (NTU),0.44,6/26/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4797,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,7/24/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4800,30.30338848,-97.88887425,Flow (Cubic feet per second),0.0246,7/24/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
4801,30.30338848,-97.88887425,Conductivity (uS/cm),981,7/24/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4802,30.30338848,-97.88887425,Water temperature (Deg. Celsius),27.6,7/24/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4803,30.30338848,-97.88887425,pH (Standard units),6.98,7/24/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4804,30.30338848,-97.88887425,Turbidity (NTU),0.29,7/24/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4805,30.30338848,-97.88887425,Ammonia as N (mg/L),0.04,8/21/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4808,30.30338848,-97.88887425,Conductivity (uS/cm),1093,8/21/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4809,30.30338848,-97.88887425,Water temperature (Deg. Celsius),26.7,8/21/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4810,30.30338848,-97.88887425,pH (Standard units),6.63,8/21/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4811,30.30338848,-97.88887425,Turbidity (NTU),3.2,8/21/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4841,30.30338848,-97.88887425,Ammonia as N (mg/L),0.07,9/19/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4844,30.30338848,-97.88887425,Conductivity (uS/cm),1059,9/19/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4845,30.30338848,-97.88887425,Water temperature (Deg. Celsius),26.1,9/19/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4846,30.30338848,-97.88887425,pH (Standard units),6.89,9/19/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4847,30.30338848,-97.88887425,Turbidity (NTU),1.49,9/19/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
4887,30.30338848,-97.88887425,Ammonia as N (mg/L),0.02,10/17/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,MG/L,TRUE
4890,30.30338848,-97.88887425,Conductivity (uS/cm),1117,10/17/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,uS/cm,TRUE
4891,30.30338848,-97.88887425,Water temperature (Deg. Celsius),24.2,10/17/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Deg. Celsius,TRUE
4892,30.30338848,-97.88887425,pH (Standard units),6.61,10/17/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,Standard units,TRUE
4893,30.30338848,-97.88887425,Turbidity (NTU),0.31,10/17/2001,Barton Scenic Bluff Spring,Spring,Barton Creek,NTU,TRUE
5491,30.26353512,-97.77097968,Flow (Cubic feet per second),70,1/22/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5493,30.26389528,-97.7708186,Flow (Cubic feet per second),4.2,1/22/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5494,30.26353512,-97.77097968,Flow (Cubic feet per second),69,1/25/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5496,30.26389528,-97.7708186,Flow (Cubic feet per second),0.797,1/25/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5497,30.26353512,-97.77097968,Flow (Cubic feet per second),50,1/29/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5498,30.26353512,-97.77097968,Flow (Cubic feet per second),66,1/29/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5499,30.25982155,-97.78470758,Flow (Cubic feet per second),0,1/29/2008,Barton Creek @ Campbells Hole Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5502,30.24469235,-97.80233932,Flow (Cubic feet per second),0,1/29/2008,Barton Creek @ Loop 360 (USGS),Stream,Barton Creek,Cubic Feet Per Second,TRUE
5503,30.26363155,-97.77247219,Flow (Cubic feet per second),0.98,1/29/2008,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5504,30.26397896,-97.76811596,Flow (Cubic feet per second),0.1,1/29/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5505,30.26389528,-97.7708186,Flow (Cubic feet per second),0.87,1/29/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5506,30.26389528,-97.7708186,Flow (Cubic feet per second),9.6,1/29/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5507,30.26408358,-97.76867081,Flow (Cubic feet per second),60,1/29/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5510,30.26405122,-97.77013586,Flow (Cubic feet per second),10.6,1/29/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5511,30.26389528,-97.7708186,Flow (Cubic feet per second),10.6,1/29/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5513,30.26363155,-97.77247219,Flow (Cubic feet per second),1,1/29/2008,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5514,30.26353512,-97.77097968,Flow (Cubic feet per second),48,2/12/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5515,30.26353512,-97.77097968,Flow (Cubic feet per second),61,2/12/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5518,30.26363155,-97.77247219,Flow (Cubic feet per second),0.65,2/12/2008,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5519,30.26389528,-97.7708186,Flow (Cubic feet per second),9.2,2/12/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5520,30.26408358,-97.76867081,Flow (Cubic feet per second),56,2/12/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5523,30.26405122,-97.77013586,Flow (Cubic feet per second),9.8,2/12/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5524,30.26367946,-97.77221814,Flow (Cubic feet per second),0.65,2/12/2008,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5525,30.26353512,-97.77097968,Flow (Cubic feet per second),60,2/20/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5527,30.26389528,-97.7708186,Flow (Cubic feet per second),0.16,2/20/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5528,30.26367946,-97.77221814,Flow (Cubic feet per second),15.79,2/20/2008,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5529,30.26405122,-97.77013586,Flow (Cubic feet per second),8.9,2/20/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5530,30.26389528,-97.7708186,Flow (Cubic feet per second),8.74,2/20/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5535,30.26353512,-97.77097968,Flow (Cubic feet per second),24,4/16/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5536,30.26353512,-97.77097968,Flow (Cubic feet per second),33,4/16/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5539,30.26363155,-97.77247219,Flow (Cubic feet per second),0.11,4/16/2008,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5540,30.26397896,-97.76811596,Flow (Cubic feet per second),0.1,4/16/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5541,30.26389528,-97.7708186,Flow (Cubic feet per second),7.7,4/16/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5544,30.26405122,-97.77013586,Flow (Cubic feet per second),7.8,4/16/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5545,30.26367946,-97.77221814,Flow (Cubic feet per second),0.1,4/16/2008,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5550,30.26363155,-97.77247219,Flow (Cubic feet per second),0,5/19/2008,Barton Creek Between Dams Upstream of Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5551,30.26397896,-97.76811596,Flow (Cubic feet per second),0.1,5/19/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5552,30.26389528,-97.7708186,Flow (Cubic feet per second),0,5/19/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5553,30.26389528,-97.7708186,Flow (Cubic feet per second),6.3,5/19/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5556,30.26389528,-97.7708186,Flow (Cubic feet per second),6.3,5/20/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5557,30.26353512,-97.77097968,Flow (Cubic feet per second),0,5/29/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5558,30.26353512,-97.77097968,Flow (Cubic feet per second),29,5/29/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5559,30.26353512,-97.77097968,Flow (Cubic feet per second),36,5/29/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5561,30.24469235,-97.80233932,Flow (Cubic feet per second),0,5/29/2008,Barton Creek @ Loop 360 (USGS),Stream,Barton Creek,Cubic Feet Per Second,TRUE
5563,30.26389528,-97.7708186,Flow (Cubic feet per second),6.4,5/29/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5564,30.26408358,-97.76867081,Flow (Cubic feet per second),34,5/29/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5566,30.26405122,-97.77013586,Flow (Cubic feet per second),6.4,5/29/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5567,30.26353512,-97.77097968,Flow (Cubic feet per second),0,6/11/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5568,30.26353512,-97.77097968,Flow (Cubic feet per second),29,6/11/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5569,30.26353512,-97.77097968,Flow (Cubic feet per second),34,6/11/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5571,30.25982155,-97.78470758,Flow (Cubic feet per second),0,6/11/2008,Barton Creek @ Campbells Hole Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5574,30.24469235,-97.80233932,Flow (Cubic feet per second),0,6/11/2008,Barton Creek @ Loop 360 (USGS),Stream,Barton Creek,Cubic Feet Per Second,TRUE
5575,30.26397896,-97.76811596,Flow (Cubic feet per second),0.1,6/11/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5578,30.26389528,-97.7708186,Flow (Cubic feet per second),6,6/11/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5579,30.26367946,-97.77221814,Flow (Cubic feet per second),0,6/11/2008,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5582,30.26405122,-97.77013586,Flow (Cubic feet per second),6,6/11/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5583,30.26408358,-97.76867081,Flow (Cubic feet per second),33,6/11/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5584,30.26353512,-97.77097968,Flow (Cubic feet per second),18,6/12/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5585,30.26353512,-97.77097968,Flow (Cubic feet per second),32,6/12/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5586,30.26408358,-97.76867081,Flow (Cubic feet per second),31,6/12/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
