,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
6116,30.26367946,-97.77221814,Flow (Cubic feet per second),4.16,6/3/2014,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6117,30.26389528,-97.7708186,Flow (Cubic feet per second),10.04,6/3/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6119,30.26408358,-97.76867081,Flow (Cubic feet per second),48.5271,7/3/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6120,30.26408358,-97.76867081,Water temperature (Deg. Celsius),74.9,7/3/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6121,30.26408358,-97.76867081,Flow (Cubic feet per second),38.2817,7/3/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6122,30.26408358,-97.76867081,Water temperature (Deg. Celsius),74.9,7/3/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6125,30.26389528,-97.7708186,Flow (Cubic feet per second),6.868,7/3/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6126,30.26408358,-97.76867081,Flow (Cubic feet per second),35.9852,8/5/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6127,30.26408358,-97.76867081,Water temperature (Deg. Celsius),75.5,8/5/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6129,30.26389528,-97.7708186,Flow (Cubic feet per second),4.4646,8/5/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6132,30.26408358,-97.76867081,Flow (Cubic feet per second),28.9,8/27/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6134,30.26389528,-97.7708186,Flow (Cubic feet per second),4.75,8/27/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6136,30.26408358,-97.76867081,Flow (Cubic feet per second),30.81,8/27/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6138,30.26389528,-97.7708186,Flow (Cubic feet per second),4.41,8/27/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6139,30.26408358,-97.76867081,Flow (Cubic feet per second),24.98,8/27/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6141,30.26389528,-97.7708186,Flow (Cubic feet per second),3.22,8/27/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6142,30.26408358,-97.76867081,Flow (Cubic feet per second),23.28,8/27/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6144,30.26389528,-97.7708186,Flow (Cubic feet per second),2.17,8/27/2014,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6146,30.26408358,-97.76867081,Flow (Cubic feet per second),48.56,9/24/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6147,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.5,9/24/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6149,30.26408358,-97.76867081,Flow (Cubic feet per second),39.83,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6150,30.26408358,-97.76867081,Water temperature (Deg. Celsius),70.4,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6152,30.26405122,-97.77013586,Flow (Cubic feet per second),6.74,10/1/2014,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6154,30.26408358,-97.76867081,Flow (Cubic feet per second),30.63,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6155,30.26408358,-97.76867081,Water temperature (Deg. Celsius),70.9,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6157,30.26405122,-97.77013586,Flow (Cubic feet per second),6.5,10/1/2014,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6159,30.26408358,-97.76867081,Flow (Cubic feet per second),39.24,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6160,30.26408358,-97.76867081,Water temperature (Deg. Celsius),71.3,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6162,30.26405122,-97.77013586,Flow (Cubic feet per second),6.15,10/1/2014,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6164,30.26408358,-97.76867081,Flow (Cubic feet per second),44.82,10/1/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6165,30.26408358,-97.76867081,Flow (Cubic feet per second),30.44,11/17/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6166,30.26408358,-97.76867081,Water temperature (Deg. Celsius),69.3,11/17/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Deg. Fahrenheit,TRUE
6168,30.26405122,-97.77013586,Flow (Cubic feet per second),5.35,11/17/2014,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6171,30.26405122,-97.77013586,Flow (Cubic feet per second),8.51,12/2/2014,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6172,30.26408358,-97.76867081,Flow (Cubic feet per second),55.85,12/2/2014,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
6174,30.26367946,-97.77221814,Flow (Cubic feet per second),2.43,12/2/2014,Barton Spring Pool Bypass Upstream End,Stream,Barton Creek,Cubic Feet Per Second,TRUE
8766,30.16620792,-97.89821521,Ammonia as N (mg/L),0.02,6/14/1999,Bear Creek @ Centerfit/Perry/Wisebart,Stream,Bear Creek,MG/L,TRUE
8771,30.16620792,-97.89821521,Flow (Cubic feet per second),0.03,6/14/1999,Bear Creek @ Centerfit/Perry/Wisebart,Stream,Bear Creek,Cubic Feet Per Second,TRUE
8773,30.16620792,-97.89821521,Conductivity (uS/cm),519,6/14/1999,Bear Creek @ Centerfit/Perry/Wisebart,Stream,Bear Creek,uS/cm,TRUE
8774,30.16620792,-97.89821521,Water temperature (Deg. Celsius),32.1,6/14/1999,Bear Creek @ Centerfit/Perry/Wisebart,Stream,Bear Creek,Deg. Fahrenheit,TRUE
8775,30.16620792,-97.89821521,pH (Standard units),8.42,6/14/1999,Bear Creek @ Centerfit/Perry/Wisebart,Stream,Bear Creek,Standard units,TRUE
8776,30.16620792,-97.89821521,Turbidity (NTU),1,6/14/1999,Bear Creek @ Centerfit/Perry/Wisebart,Stream,Bear Creek,NTU,TRUE
